      20:7f -- 1c 09|-- -- -- --|10 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- e1 08|-- -- -- --|-- -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- ef 08|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- a9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- fd 08|-- -- -- --|-- -- 67 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- d5 08|-- -- -- --|-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- b3 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- 8e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- ef 08|-- -- -- --|-- -- 67 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- c9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- a9 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- ef 08|-- -- -- --|-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- bd 08|-- -- -- --|-- -- -- --|-- -- -- --|
      60:4f -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- -- --|-- -- -- --|-- -- 96 08|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7f -- 3f 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      12:-- -- 0c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:-- -- fd 08|-- -- -- --|-- -- 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|
      32:-- -- -- --|-- -- -- --|-- -- 2d 09|-- -- -- --|-- -- -- --|-- -- -- --|
      28:-- -- -- --|-- -- -- --|-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|
